K,interaction_mode,timing_mode,final_mean,final_variance,final_std,time_to_stability,stable,count_state_0,count_state_1,count_state_2,count_state_3,replicate,count_state_4,count_state_5,count_state_6,count_state_7,count_state_8,count_state_9
3,dyadic,synchronous,1.38,0.4156,0.6446704584514479,15.0,True,18,88,94,0,0,,,,,,
3,dyadic,synchronous,1.71,0.4559,0.6752036729757919,19.0,True,7,62,113,18,1,,,,,,
3,dyadic,synchronous,1.38,0.23560000000000003,0.48538644398046393,24.0,True,0,124,76,0,2,,,,,,
3,dyadic,synchronous,1.395,0.388975,0.6236786031282459,20.0,True,15,91,94,0,3,,,,,,
3,dyadic,synchronous,1.51,0.34989999999999993,0.5915234568468101,16.0,True,10,78,112,0,4,,,,,,
3,dyadic,synchronous,1.82,0.31760000000000005,0.5635601121442149,22.0,True,1,50,133,16,5,,,,,,
3,dyadic,synchronous,1.545,0.447975,0.6693093455196931,17.0,True,4,99,81,16,6,,,,,,
3,dyadic,synchronous,1.585,0.46277500000000005,0.6802756794123983,10.0,True,9,78,100,13,7,,,,,,
3,dyadic,synchronous,1.42,0.4136000000000001,0.6431174076325411,28.0,True,8,109,74,9,8,,,,,,
3,dyadic,synchronous,1.22,0.3016,0.5491812087098392,48.0,True,13,130,57,0,9,,,,,,
3,dyadic,synchronous,1.545,0.347975,0.5898940582850449,16.0,True,0,101,89,10,10,,,,,,
3,dyadic,synchronous,1.51,0.42989999999999995,0.6556675987114202,10.0,True,8,92,90,10,11,,,,,,
3,dyadic,synchronous,1.5,0.57,0.7549834435270749,32.0,True,5,117,51,27,12,,,,,,
3,dyadic,synchronous,1.035,0.42377499999999996,0.6509800304156802,39.0,True,39,115,46,0,13,,,,,,
3,dyadic,synchronous,1.495,0.26997499999999997,0.5195911854525632,17.0,True,2,97,101,0,14,,,,,,
3,dyadic,synchronous,1.825,0.14437500000000003,0.37996710383926663,46.0,True,0,35,165,0,15,,,,,,
3,dyadic,synchronous,1.785,0.27877500000000005,0.5279914772039412,19.0,True,0,54,135,11,16,,,,,,
3,dyadic,synchronous,1.55,0.3775,0.6144102863722254,12.0,True,2,97,90,11,17,,,,,,
3,dyadic,synchronous,1.345,0.31597500000000006,0.5621165359602937,25.0,True,9,113,78,0,18,,,,,,
3,dyadic,synchronous,1.46,0.26839999999999997,0.5180733538795447,18.0,True,2,104,94,0,19,,,,,,
3,dyadic,synchronous,1.345,0.7159749999999999,0.8461530594401937,24.0,True,37,69,82,12,20,,,,,,
3,dyadic,synchronous,1.69,0.22389999999999996,0.47318072657283916,11.0,True,1,60,139,0,21,,,,,,
3,dyadic,synchronous,1.46,0.24839999999999995,0.49839743177508444,53.0,True,0,108,92,0,22,,,,,,
3,dyadic,synchronous,1.28,0.41159999999999997,0.6415605972938175,29.0,True,21,102,77,0,23,,,,,,
3,dyadic,synchronous,1.6,0.35000000000000014,0.5916079783099617,15.0,True,7,70,119,4,24,,,,,,
3,dyadic,synchronous,1.655,0.46597500000000003,0.6826236151789652,15.0,True,3,84,92,21,25,,,,,,
